County,Pop
"Alameda County, California",1671329
"Alpine County, California",1129
"Amador County, California",39752
"Butte County, California",219186
"Calaveras County, California",45905
"Colusa County, California",21547
"Contra Costa County, California",1153526
"Del Norte County, California",27812
"El Dorado County, California",192843
"Fresno County, California",999101
"Glenn County, California",28393
"Humboldt County, California",135558
"Imperial County, California",181215
"Inyo County, California",18039
"Kern County, California",900202
"Kings County, California",152940
"Lake County, California",64386
"Lassen County, California",30573
"Los Angeles County, California",10039107
"Madera County, California",157327
"Marin County, California",258826
"Mariposa County, California",17203
"Mendocino County, California",86749
"Merced County, California",277680
"Modoc County, California",8841
"Mono County, California",14444
"Monterey County, California",434061
"Napa County, California",137744
"Nevada County, California",99755
"Orange County, California",3175692
"Placer County, California",398329
"Plumas County, California",18807
"Riverside County, California",2470546
"Sacramento County, California",1552058
"San Benito County, California",62808
"San Bernardino County, California",2180085
"San Diego County, California",3338330
"San Francisco County, California",881549
"San Joaquin County, California",762148
"San Luis Obispo County, California",283111
"San Mateo County, California",766573
"Santa Barbara County, California",446499
"Santa Clara County, California",1927852
"Santa Cruz County, California",273213
"Shasta County, California",180080
"Sierra County, California",3005
"Siskiyou County, California",43539
"Solano County, California",447643
"Sonoma County, California",494336
"Stanislaus County, California",550660
"Sutter County, California",96971
"Tehama County, California",65084
"Trinity County, California",12285
"Tulare County, California",466195
"Tuolumne County, California",54478
"Ventura County, California",846006
"Yolo County, California",220500
"Yuba County, California",78668
