"","date","tweet"
"1",2015-06-20,2579
"2",2015-06-21,2073
"3",2015-06-22,1485
"4",2015-06-23,1198
"5",2015-06-24,1177
"6",2015-06-25,1448
"7",2015-06-26,2495
"8",2015-06-27,2427
"9",2015-06-28,2023
"10",2015-06-29,2658
"11",2015-06-30,4335
"12",2015-07-01,1401
"13",2015-07-02,1700
"14",2015-07-03,6915
"15",2015-07-04,4163
"16",2015-07-05,3427
"17",2015-07-06,4220
"18",2015-07-07,3794
"19",2015-07-08,2869
"20",2015-07-09,5147
"21",2015-07-10,4258
"22",2015-07-11,5537
"23",2015-07-12,3764
"24",2015-07-13,6531
"25",2015-07-14,5796
"26",2015-07-15,5952
"27",2015-07-16,4764
"28",2015-07-17,2314
"29",2015-07-18,3979
"30",2015-07-19,4322
"31",2015-07-20,3681
"32",2015-07-21,6767
"33",2015-07-22,9564
"34",2015-07-23,6893
"35",2015-07-24,4826
"36",2015-07-25,5136
"37",2015-07-26,3264
"38",2015-07-27,6224
"39",2015-07-28,3489
"40",2015-07-29,4659
"41",2015-07-30,3966
"42",2015-07-31,5442
"43",2015-08-01,3211
"44",2015-08-02,2750
"45",2015-08-03,4281
"46",2015-08-04,4985
"47",2015-08-05,4658
"48",2015-08-06,4961
"49",2015-08-07,3851
"50",2015-08-08,2981
"51",2015-08-09,3283
"52",2015-08-10,3728
"53",2015-08-11,4012
"54",2015-08-12,4907
"55",2015-08-13,5447
"56",2015-08-14,3440
"57",2015-08-15,4472
"58",2015-08-16,3684
"59",2015-08-17,4286
"60",2015-08-18,3910
"61",2015-08-19,4449
"62",2015-08-20,4953
"63",2015-08-21,2835
"64",2015-08-22,2316
"65",2015-08-23,1232
"66",2015-08-24,4782
"67",2015-08-25,4126
"68",2015-08-26,1979
"69",2015-08-27,4517
"70",2015-08-28,4149
"71",2015-08-29,3658
"72",2015-08-30,4134
"73",2015-08-31,3463
"74",2015-09-01,2814
"75",2015-09-02,2886
"76",2015-09-03,2325
"77",2015-09-04,2459
"78",2015-09-05,1725
"79",2015-09-06,2090
"80",2015-09-07,1888
"81",2015-09-08,2499
"82",2015-09-09,2841
"83",2015-09-10,2194
"84",2015-09-11,1954
"85",2015-09-12,1676
"86",2015-09-13,1534
"87",2015-09-14,2009
"88",2015-09-15,2223
"89",2015-09-16,2030
"90",2015-09-17,2139
"91",2015-09-18,2329
"92",2015-09-19,1856
"93",2015-09-20,2094
"94",2015-09-21,2028
"95",2015-09-22,2624
"96",2015-09-23,2513
"97",2015-09-24,2439
"98",2015-09-25,2421
"99",2015-09-26,2049
"100",2015-09-27,2226
"101",2015-09-28,2599
"102",2015-09-29,2476
"103",2015-09-30,2664
"104",2015-10-01,2237
"105",2015-10-02,2206
"106",2015-10-03,1662
"107",2015-10-04,2308
"108",2015-10-05,2632
"109",2015-10-06,2405
"110",2015-10-07,2220
"111",2015-10-08,3335
"112",2015-10-09,2822
"113",2015-10-10,1907
"114",2015-10-11,4664
"115",2015-10-12,4716
"116",2015-10-13,2959
"117",2015-10-14,2351
"118",2015-10-15,2289
"119",2015-10-16,2883
